Participant,Puzzle1,Puzzle2,Puzzle3,Puzzle4,Puzzle5,Puzzle6,Puzzle7,Puzzle8,Puzzle9,Puzzle10,Puzzle11,Puzzle12,Puzzle13,Puzzle14,Puzzle15,Puzzle16,Puzzle17,Puzzle18,Puzzle19,Puzzle20,TotScore,Time1,Time2,Time3,Time4,Time5,Time6,Time7,Time8,Time9,Time10,Time11,Time12,Time13,Time14,Time15,Time16,Time17,Time18,Time19,Time20,TotalTime,Clicks 1,Clicks 2,Clicks 3,Clicks 4,Clicks 5,Clicks 6,Clicks 7,Clicks 8,Clicks 9,Clicks 10,Clicks 11,Clicks 12,Clicks 13,Clicks 14,Clicks 15,Clicks 16,Clicks 17,Clicks 18,Clicks 19,Clicks 20,TotalClicks
46,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,15,40.96840786,120,46.23882656,118.4820161,58.56897115,104.3102325,26.80573937,120,36.47837111,108.8939592,31.54457059,120,17.63199401,92.76622365,41.05438409,90.68844858,37.13919727,69.83207463,100.3508581,120,1501.754275,12,32,9,29,14,20,6,17,10,25,4,28,5,19,13,21,10,13,20,15,322
47,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,9,112.518991,76.9013848,77.95294883,120,89.07901687,75.83995474,22.60092745,89.75664396,26.48970666,87.29510325,40.40616418,90.22579878,19.67542462,120,20.64106643,39.84365311,41.01665009,120,97.48818745,120,1487.731622,14,10,8,6,12,6,6,18,5,13,10,7,4,11,7,1,6,10,9,17,180
48,1,1,0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,1,1,14,49.96801368,69.52429351,63.54588632,120,43.8492997,120,19.32928177,120,36.69432661,92.61374021,29.79438016,120,36.55291702,75.15324146,34.31620405,120,32.4544819,61.35671262,100.8219329,99.4593434,1445.434055,11,12,11,15,8,23,4,21,7,10,4,21,7,12,9,24,6,10,22,18,255
49,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,19,19.35482973,46.27435203,22.46823991,51.45286675,23.97992,38.71740435,21.1154354,57.0391187,18.20746535,40.61788562,18.60057869,66.7564484,22.91063534,49.71183536,16.49240999,38.28330385,21.58042777,58.08899003,34.86776386,47.31695433,713.8368654,6,14,7,14,7,10,5,17,5,10,7,24,8,13,5,11,5,16,9,13,206
50,1,1,1,0,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,17,24.05826237,46.44243602,33.12958997,120,27.7660459,114.2988319,19.1995609,76.60942133,17.8832961,101.9262576,12.57486158,76.05839254,14.14898977,68.39006875,18.41629297,53.08408818,24.94863997,52.33625336,51.4497881,68.29867421,1021.019752,9,13,7,31,7,25,7,19,7,26,4,17,4,15,5,10,7,11,10,13,247
51,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,16,21.65752497,86.67417317,31.07523947,95.17943938,40.41872081,60.69014395,29.44625739,82.02069209,19.32605963,53.07031149,21.24991136,120,18.10797835,74.71551956,19.89653768,82.03404563,22.07240529,120,50.8090844,63.30088977,1111.744934,8,32,10,27,13,24,10,24,7,15,7,36,8,20,7,29,9,28,17,17,348
52,1,1,1,0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,1,0,12,18.78791054,99.36080701,93.53165501,120,71.91957712,120,21.57328584,120,17.80546531,90.41004323,76.0204234,86.07978005,24.97473066,96.1242767,21.4326632,120,27.70735984,102.2265333,105.4680132,120,1553.422524,6,28,20,32,17,29,5,23,5,18,14,18,5,13,5,27,4,19,26,20,334
53,1,1,1,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,1,0,10,70.98179109,106.6631195,36.19095102,120,79.24622433,120,20.48846883,120,72.3282705,120,88.01666077,120,37.76814936,101.2712702,21.34645764,116.618696,41.93698223,120,97.34463862,120,1730.20168,11,19,4,19,14,19,5,23,9,23,24,22,4,14,5,25,4,25,16,15,300
54,1,0,1,0,1,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,7,104.4074325,80.93378649,67.00947907,56.67182811,50.7175646,120,80.07662182,55.34637804,31.73639989,120,33.58798193,120,120,97.82578797,14.11908977,120,120,81.59675255,120,20.43787216,1614.466975,28,17,12,5,5,23,10,4,7,16,4,17,7,18,6,11,7,7,15,3,222
55,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,1,14,43.64583182,71.19479668,46.26803146,120,41.41142005,120,44.20473521,120,55.26172208,97.72362275,31.80643823,120,26.60927158,74.27742088,46.46623895,120,32.99355953,120,71.02079146,110.3135328,1513.197413,6,14,11,18,6,24,9,25,12,20,6,28,6,11,6,19,4,20,16,27,288
56,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,20,33.74499989,57.74000001,25.7190001,80.88599992,31.79400015,89.32200003,26.74699998,85.84700012,21.12899995,75.17499995,23.13700008,84.44099998,22.71600008,74.84200001,22.17400002,45.87400007,28.22900009,53.55999994,50.72399998,52.07400012,985.8750005,6,11,4,11,5,11,6,11,5,9,4,16,7,11,4,10,6,11,10,11,169
57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.755000114,0.674000025,1.839999914,1.164000034,1.07400012,1.32400012,5.5,0.592000008,0.976999998,1.778999805,2.586999893,1.763999939,1.358999968,1.133999825,0.832999945,1.059999943,1.647000074,0.86500001,8.674000025,1.086000204,36.68799996,1,1,0,1,2,2,0,1,0,2,0,1,1,1,0,2,1,1,1,1,19
